gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,,,,,,,
hsa-miR-4707-5p,1.025528133,-2.685317551,2.231605791,-1.203311787,0.22885569,0.694462852,,,0.727584843,,,,,,
hsa-miR-6805-3p,1.025528133,-2.685317551,2.231605791,-1.203311787,0.22885569,0.694462852,,,0.723408179,,,,,,
NovelmiRNA-252,1.025528133,-2.685317551,2.231605791,-1.203311787,0.22885569,0.694462852,,,0.723408179,,,,,,
NovelmiRNA-294,1.025528133,-2.685317551,2.231605791,-1.203311787,0.22885569,0.694462852,,,0.723408179,,,,,,
NovelmiRNA-1163,1.025528133,-2.685317551,2.231605791,-1.203311787,0.22885569,0.694462852,,,0.723408179,,,,,,
hsa-miR-6755-5p,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.723408179,,,,,,
hsa-miR-4695-3p,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.723408179,,,,,,
hsa-miR-4701-5p,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.723408179,,,,,,
NovelmiRNA-48,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.723408179,,,,,,
NovelmiRNA-250,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.717382752,,,,,,
NovelmiRNA-266,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.716748237,,,,,,
NovelmiRNA-636,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.716748237,,,,,,
NovelmiRNA-731,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.716748237,,,,,,
NovelmiRNA-865,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.707728197,,,,,,
NovelmiRNA-895,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.707728197,,,,,,
NovelmiRNA-946,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.707728197,,,,,,
NovelmiRNA-996,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.707728197,,,,,,
NovelmiRNA-1003,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.707728197,,,,,,
NovelmiRNA-1146,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.707332271,,,,,,
NovelmiRNA-1170,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.707332271,,,,,,
NovelmiRNA-1185,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.707332271,,,,,,
NovelmiRNA-1190,1.053699306,-2.682284983,2.231676536,-1.201914766,0.229396553,0.694462852,,,0.707332271,,,,,,
